	Alphaproteobacteria	Thermoleophilia	Verrucomicrobiae	Subgroup_6	Blastocatellia_(Subgroup_4)	Planctomycetacia	Actinobacteria	Gammaproteobacteria	Deltaproteobacteria	Bacilli	Bacteria_unclassified	Acidimicrobiia	Acidobacteriia	Bacteroidia	NC10	Gemmatimonadetes	MB-A2-108	Phycisphaerae	Chloroflexia	KD4-96	Nitrososphaeria	Anaerolineae	Rubrobacteria	Holophagae	TK10	Armatimonadetes_class	Entotheonellia	Subgroup_5	Clostridia	Actinobacteria_unclassified	Ktedonobacteria	Subgroup_17	Subgroup_25	Chlamydiae	Latescibacteria_cl	Thermoanaerobaculia	Babeliae	Dehalococcoidia	Chloroflexi_unclassified	Subgroup_22	OM190	S0134_terrestrial_group	Proteobacteria_unclassified	Gitt-GS-136	Chthonomonadetes	Nitrospira	Subgroup_11	JG30-KF-CM66	Melainabacteria	Subgroup_18	Acidobacteria_unclassified	Fimbriimonadia	Erysipelotrichia	BRC1_cl	OLB14	Longimicrobia	Lineage_IIa	Oxyphotobacteria	Latescibacteria	Negativicutes	Pla4_lineage	Planctomycetes_unclassified	Armatimonadia	Parcubacteria	Ignavibacteria	BD2-11_terrestrial_group	Sericytochromatia	0319-7L14	Fibrobacteria	AKAU4049	Lineage_IIb	Firmicutes_unclassified	AT-s3-28	AD3	FBP_cl	Coriobacteriia	Elusimicrobia	Pla3_lineage	WS2_cl	Armatimonadetes_unclassified	vadinHA49	Bacteroidetes_unclassified	Mollicutes	Woesearchaeia	Omnitrophia	Subgroup_15	GAL15_cl	Microgenomatia	Nitriliruptoria	Gracilibacteria	Rhodothermia	Omnitrophicaeota_cl	Cyanobacteria_unclassified	Patescibacteria_class	Saccharimonadia	WS4_cl	Chitinivibrionia	Lineage_IIc	ABY1	Subgroup_20	Dadabacteriia	Euryarchaeota_unclassified	Latescibacteria_unclassified	BD7-11	Methanobacteria	4-29-1	P2-11E	Hydrogenedentia	Archaea_unclassified	Thermodesulfovibrionia	028H05-P-BN-P5	SHA-26	Thermoplasmata	WPS-2_cl	Margulisbacteria_cl	Omnitrophicaeota_unclassified	Gemmatimonadetes_unclassified	Berkelbacteria	Subgroup_9	Patescibacteria_unclassified	Nanoarchaeaeota_unclassified	Kiritimatiellae	Elusimicrobia_unclassified	Deinococci	Subgroup_19	FFCH16263	Subgroup_21	KIST-JJY010	Fibrobacteres_unclassified	Limnochordia	Methanomicrobia
ca4a	0.16683123346103915	0.10529641771001925	0.01899759074213045	0.13045538923338276	0.0770172597653931	0.04810616533038472	0.044630514633279515	0.07614834709111637	0.062166752241400086	0.01567992416762113	0.02219676922469306	0.020261463722895903	0.008926102926655853	0.015482444014376515	0.009637031478336418	0.01560093210632328	0.01248074568505864	0.007306765670050165	0.008017694221730716	0.008175678344326389	0.0319127927643272	0.011532840949484544	0.00971602353963426	0.0036336348197006183	0.004423555432679015	0.005094987953710654	0.006990797424858806	0.0037521229116473783	0.0027252261147754616	0.00288321023737114	0.0010268967968719144	0.003001698329317901	0.001500849164658952	0.0022117777163395066	0.0028832102373711433	0.0028832102373711433	0.0019353055017970696	0.0015798412259567915	0.0012243769501165134	0.0024092578695841054	0.0015798412259567915	0.003120186421264661	0.0012243769501165134	0.0012638729807654331	0.0006714325210316364	0.003949603064891978	0.0006714325210316364	0.0006714325210316364	0.00023697618389351873	0.0003949603064891978	0.0006319364903827166	0.0005134483984359572	0.00011848809194675935	0.0002369761838935187	0.000750424582329476	0.0006714325210316364	0.0005924404597337968	0.00011848809194675935	0.000750424582329476	0.00019748015324459894	0.00023697618389351873	0.0006714325210316364	3.9496030648919786e-05	3.9496030648919786e-05	0.00019748015324459894	0.0005134483984359572	0.00011848809194675935	0.00023697618389351873	7.899206129783957e-05	0.0003159682451913583	0.0003159682451913583	0.00011848809194675935	0.00019748015324459894	0.0	3.9496030648919786e-05	0.00011848809194675935	0.00019748015324459894	0.00011848809194675935	7.899206129783957e-05	0.0	3.9496030648919786e-05	7.899206129783957e-05	0.0	7.899206129783957e-05	0.0	0.00019748015324459894	0.00011848809194675935	3.9496030648919786e-05	3.9496030648919786e-05	3.9496030648919786e-05	0.00019748015324459894	3.9496030648919786e-05	0.0	0.0	0.0	7.899206129783957e-05	0.0	3.9496030648919786e-05	0.0	3.9496030648919786e-05	0.0	0.0	0.0	0.0	0.0	3.9496030648919786e-05	0.0	3.9496030648919786e-05	0.0	0.0	0.0	0.0	0.0	3.9496030648919786e-05	0.0	3.9496030648919786e-05	0.0	0.0	0.0	0.0	3.9496030648919786e-05	3.9496030648919786e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca4b	0.1487073647621129	0.10659714678832717	0.018611050763994608	0.13610688681294886	0.08447389383735279	0.051777826055471876	0.04587587805054708	0.06550076037366982	0.05145195162575184	0.013831559128104859	0.022014628141067725	0.020095589832717965	0.007205445723803316	0.01227460351944384	0.012600477949163589	0.013252226808603084	0.01263668621913245	0.008834817872402057	0.010898689260627127	0.012129770439568397	0.04558621189079591	0.015026432037077268	0.008762401332464335	0.0036570352668549495	0.0033311608371352015	0.005974364544862046	0.006481280324426099	0.002824245057571149	0.002534578897820262	0.0031139112173220363	0.000941415019190383	0.003946701426605837	0.0012310811789412702	0.0032949525671663407	0.0038742848866681148	0.002896661597508871	0.0021362879281627925	0.001882830038380766	0.0017379969585053225	0.0024983706278514013	0.0016655804185676008	0.0023535375479759577	0.0010500398290969658	0.0027156202476645666	0.0005793323195017742	0.0033673691071040624	0.0006155405894706351	0.0009052067492215222	0.00036208269968860887	0.0007603736693460786	0.0008689984792526613	0.0005069157795640525	7.241653993772178e-05	0.000325874429719748	0.000651748859439496	0.00039829096965746975	0.00043449923962633063	0.0	0.00039829096965746975	0.00021724961981316532	0.00039829096965746975	0.00043449923962633063	0.00014483307987544355	0.0005431240495329133	0.00043449923962633063	0.00043449923962633063	3.620826996886089e-05	0.00010862480990658267	0.00010862480990658267	0.000325874429719748	0.00021724961981316534	3.620826996886089e-05	0.00014483307987544355	0.0	0.00010862480990658267	3.620826996886089e-05	0.0	7.241653993772178e-05	0.00018104134984430444	3.620826996886089e-05	0.00010862480990658267	0.00010862480990658267	0.0	0.0	0.00010862480990658267	0.00014483307987544355	0.00010862480990658266	7.241653993772178e-05	0.0	0.00014483307987544355	0.00010862480990658267	0.00010862480990658267	0.0	0.0	3.620826996886089e-05	3.620826996886089e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.620826996886089e-05	0.0	0.0	0.0	0.0	7.241653993772178e-05	0.0	0.0	0.0	0.0	3.620826996886089e-05	3.620826996886089e-05	0.0	0.0	3.620826996886089e-05	0.0	0.0	0.0	0.0	3.620826996886089e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca5a	0.20261929850971083	0.10059461086858237	0.15757188017462045	0.052950474183351	0.05810627728435961	0.05423001655878404	0.046176426313412726	0.024499473129610223	0.040907722414571884	0.07560590094836607	0.014714737317477125	0.011628782176727408	0.02897787144362492	0.011892217371669452	0.01877916603944002	0.010010537407797698	0.0057203070901701	0.008994430227306947	0.005645039891615226	0.005456871895228059	0.0007150383862712629	0.005080535902453706	0.001806412765316875	0.003951527924130664	0.0036504591299111864	0.003085955140749663	0.0054945054945054915	0.005795574288724974	0.004365497516182447	0.0016558783682071364	0.005946108685834703	0.0035375583320788823	0.003575191931356315	0.002897787144362491	0.0011666415776004821	0.0006397711877163931	0.0012795423754327871	0.0004516031913292187	0.0007903055848261327	0.0007150383862712629	0.0004892367906066536	7.52671985548698e-05	0.0007903055848261327	3.76335992774349e-05	0.001166641577600482	3.76335992774349e-05	0.0008279391841035677	0.00011290079783230469	0.0004516031913292187	0.00026343519494204424	0.00026343519494204424	0.00026343519494204424	0.0001505343971097396	0.00037633599277434894	0.00018816799638717447	0.0	0.0001505343971097396	0.0005268703898840885	3.76335992774349e-05	0.00018816799638717447	0.0001505343971097396	0.00018816799638717447	7.52671985548698e-05	0.00011290079783230469	7.52671985548698e-05	0.0	0.0	0.0	3.76335992774349e-05	0.0	0.00011290079783230469	0.00018816799638717447	7.52671985548698e-05	0.00011290079783230469	3.76335992774349e-05	0.0	3.76335992774349e-05	7.52671985548698e-05	3.76335992774349e-05	3.76335992774349e-05	3.76335992774349e-05	3.76335992774349e-05	0.0	0.0	0.0	3.76335992774349e-05	0.0	3.76335992774349e-05	0.0	3.76335992774349e-05	3.76335992774349e-05	7.52671985548698e-05	0.0	0.0	0.0	7.52671985548698e-05	0.0	0.0	3.76335992774349e-05	0.0	0.0	0.0	7.52671985548698e-05	0.0	0.0	0.0	0.0	0.0	7.52671985548698e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca5b	0.1927018943170447	0.09934197407776688	0.14767696909272013	0.06348953140578273	0.05579262213359925	0.05750747756729829	0.04470588235294124	0.02903290129611173	0.04131605184446666	0.07401794616151552	0.01467597208374879	0.011844466600199421	0.029870388833499528	0.013798604187437708	0.016709870388833502	0.00929212362911267	0.005663010967098709	0.009012961116650064	0.004945164506480565	0.006580259222333004	0.00035892323030907274	0.0057427716849451724	0.0019142572283150547	0.0048255234297108675	0.004466600199401799	0.003748753738783652	0.005862412761714857	0.007298105682951148	0.005184446660019947	0.0022731804586241288	0.006500498504486552	0.00239282153539382	0.003668993020937189	0.0016749750747756724	0.0011166500498504483	0.0013958125623130607	0.001914257228315054	0.0005583250249252242	0.0007976071784646059	0.0007178464606181455	0.001076769690927218	0.00011964107676969092	0.0007178464606181453	0.0002791625124626122	0.0010368893320039877	0.0	0.0005982053838484546	0.00019940179461615153	0.000398803589232303	0.00015952143569292123	0.00035892323030907274	0.00031904287138584246	0.0004386839481555334	0.00035892323030907274	0.00011964107676969092	7.976071784646061e-05	0.00015952143569292123	0.000398803589232303	0.00015952143569292123	0.0003988035892323031	0.00015952143569292123	0.00023928215353938184	0.00015952143569292123	0.00011964107676969092	7.976071784646061e-05	3.988035892323031e-05	0.0002791625124626122	0.0	3.988035892323031e-05	0.0	0.0	3.988035892323031e-05	7.976071784646061e-05	0.00015952143569292123	0.0	3.988035892323031e-05	0.00011964107676969092	7.976071784646061e-05	0.00015952143569292123	0.0	0.0	3.988035892323031e-05	0.00011964107676969092	3.988035892323031e-05	3.988035892323031e-05	0.0	3.988035892323031e-05	0.0	0.0	0.0	0.0	0.0	7.976071784646061e-05	0.0	0.0	0.0	0.0	3.988035892323031e-05	3.988035892323031e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ca6a	0.16659305064782132	0.12765017667844544	0.06308892815076568	0.08797114252061254	0.06154299175500594	0.05661071849234416	0.04520023557126038	0.04969081272084816	0.05749411071849249	0.03099234393404009	0.01950824499411075	0.016121908127208498	0.008613074204946997	0.01891931684334514	0.022305653710247366	0.011925795053003545	0.017741460541813907	0.007361601884570073	0.01354534746760897	0.011999411071849236	0.0009570082449941107	0.010747938751472334	0.0040488810365135455	0.0038280329799764436	0.006919905771495875	0.0072143698468786766	0.005005889281507654	0.003018256772673734	0.008244994110718487	0.004490577149587748	0.004269729093050649	0.005668433451118962	0.007582449941107183	0.0008833922261484098	0.002871024734982333	0.0047114252061248516	0.0019876325088339234	0.0028710247349823326	0.001398704358068316	0.0010306242638398115	0.0015459363957597179	0.001840400471142521	0.0009570082449941106	0.0005889281507656066	0.0012514723203769142	0.00014723203769140164	0.0006625441696113074	0.0003680800942285041	0.0009570082449941106	0.0006625441696113074	0.00014723203769140164	0.0005889281507656066	0.0009570082449941107	0.0005153121319199057	0.00022084805653710247	7.361601884570082e-05	0.00014723203769140164	0.00014723203769140164	0.0007361601884570083	0.0007361601884570082	0.00014723203769140164	7.361601884570082e-05	0.00022084805653710247	0.0002944640753828033	0.00022084805653710247	0.0	0.00036808009422850414	0.00022084805653710247	7.361601884570082e-05	0.00014723203769140164	0.00014723203769140164	0.00014723203769140164	0.00022084805653710247	7.361601884570082e-05	7.361601884570082e-05	0.0005153121319199057	0.00022084805653710247	0.0	7.361601884570082e-05	7.361601884570082e-05	0.0	0.00014723203769140164	0.00036808009422850414	7.361601884570082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.361601884570082e-05	0.0	0.0	0.0	0.0	0.0	7.361601884570082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.361601884570082e-05	0.0	0.0	0.0	0.0	0.0	0.0
ca6b	0.17504987923973706	0.13950435787042023	0.059855087682453186	0.08978263152367931	0.05775490916727945	0.058332458258952676	0.043683713115615	0.046308936259582364	0.05565473065210588	0.03297280268822855	0.018376562007770596	0.017116454898666346	0.009345794392523346	0.014911267457733869	0.017799012916097864	0.014018691588785017	0.019006615562322794	0.009188281003885307	0.010238370261472207	0.009975847947075497	0.0006300535545521368	0.013756169274388289	0.0034652945500367534	0.004410374881864957	0.005722986453848571	0.006195526619762671	0.00488291504777906	0.0039903391788302005	0.007875669431901692	0.004830410584899711	0.004252861493226922	0.004830410584899716	0.006353040008400711	0.0013126115719836187	0.002310196366691169	0.0039903391788302005	0.0011025937204662396	0.0021001785151737898	0.0016276383492596872	0.0008925758689488607	0.0007875669431901712	0.0009975847947075501	0.0009450803318282055	0.00042003570303475793	0.0013126115719836187	0.0	0.0008925758689488606	0.00042003570303475793	0.0005775490916727922	0.000630053554552137	0.0002625223143967237	0.0003150267772760684	0.0011550981833455844	0.0005250446287934474	0.00021001785151737897	0.0003150267772760684	0.00021001785151737897	0.0003150267772760685	0.0007875669431901712	0.00047254016591410274	0.00042003570303475793	0.00042003570303475793	0.00036753124015541323	0.00010500892575868948	0.0003150267772760684	5.250446287934474e-05	0.0002625223143967237	0.0	0.0003150267772760685	0.0003150267772760685	0.00010500892575868948	0.0001575133886380342	5.250446287934474e-05	5.250446287934474e-05	0.0001575133886380342	0.000420035703034758	0.0	0.0001575133886380342	5.250446287934474e-05	0.0001575133886380342	0.00010500892575868948	0.0	0.00021001785151737897	0.0001575133886380342	5.250446287934474e-05	0.0	5.250446287934474e-05	0.0	0.0	0.0	0.0	0.0	5.250446287934474e-05	0.0	0.00010500892575868948	0.0	5.250446287934474e-05	0.0	5.250446287934474e-05	0.00010500892575868948	0.0	0.0	5.250446287934474e-05	0.0	0.0	0.0	0.0	0.0	5.250446287934474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.250446287934474e-05	0.0	0.0	5.250446287934474e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb4a	0.1724337908370371	0.14293446742702423	0.017243379083703877	0.12097428958051346	0.08911656678909698	0.043611057413492804	0.04461627682196002	0.06387009472259779	0.04484825053160611	0.023390682389329284	0.019099168760873843	0.022694761260390592	0.011405374057606783	0.011366711772665744	0.00742315870867968	0.014614343707713104	0.009781558090083117	0.008196404407500465	0.008196404407500468	0.008235066692441515	0.03007925768412913	0.01078677749855014	0.007848443843031117	0.005026097042335198	0.004484825053160637	0.004484825053160639	0.004716798762806878	0.0018557896771699209	0.0034796056446936017	0.002513048521167601	0.00034796056446936017	0.0036729170693988017	0.0016624782524647208	0.0030543205103421615	0.001971776531993041	0.0017784651072878408	0.0013918422578774407	0.0027063599458728013	0.0013918422578774407	0.001933114247052001	0.001894451962110961	0.002010438816934081	0.0008119079837618404	0.0015078291127005607	3.866228494104002e-05	0.0024743862362265607	0.0005799342741156003	0.0015851536825826408	0.0002319737096462401	0.0001933114247052001	0.0005026097042335202	0.0005026097042335202	0.0006959211289387203	0.0002319737096462401	0.0016238159675236806	0.0005799342741156003	0.00034796056446936017	3.866228494104002e-05	0.0003866228494104002	0.00011598685482312006	0.00027063599458728013	0.0002319737096462401	7.732456988208004e-05	0.00015464913976416007	0.0001933114247052001	0.0006572588439976803	0.00011598685482312006	0.00015464913976416007	0.00011598685482312006	0.00019331142470520006	0.00027063599458728013	0.00015464913976416007	3.866228494104002e-05	0.0	3.866228494104002e-05	3.866228494104002e-05	3.866228494104002e-05	0.00011598685482312006	7.732456988208004e-05	0.00011598685482312006	3.866228494104002e-05	7.732456988208004e-05	7.732456988208004e-05	3.866228494104002e-05	0.00015464913976416007	3.866228494104002e-05	7.732456988208004e-05	0.00015464913976416007	7.732456988208004e-05	3.866228494104002e-05	0.0	7.732456988208004e-05	0.0	3.866228494104002e-05	0.0	0.0	0.0	3.866228494104002e-05	0.0	0.0	0.0	0.0	0.0	3.866228494104002e-05	0.00019331142470520006	0.0	0.0	3.866228494104002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.866228494104002e-05	3.866228494104002e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.866228494104002e-05	0.0	0.0	3.866228494104002e-05	0.0	0.0	0.0	0.0
