"lhs","op","rhs","mi","epc"
"warmed","~~","warmed",9.56668352543738e-26,-6.85186265272444e-15
"warmed","~~","clipped",1.03907203675594e-24,-2.87753618011188e-14
"clipped","~~","clipped",3.01390749041193e-27,4.96104994544894e-15
"TP..mg.P.kg.","~","NO3..mg.L.",8.34511530040641,0.615796856358863
"TP..mg.P.kg.","~","NH4..mg.L.",0.0588426718584093,-0.0447276536472103
"TP..mg.P.kg.","~","TN..mg.L.",1.16496219102941,0.227359178620692
"TP..mg.P.kg.","~","H2O..mg.gsoil.",2.75484584390638,-0.332407176682987
"TP..mg.P.kg.","~","pH",1.08185647394025,0.461423130214897
"TP..mg.P.kg.","~","Normalized.polyP..FACS",1.09304562116998,-0.555320297093321
"TP..mg.P.kg.","~","Normalized.PHAAO..FACS",0.755570891321895,-0.391794146571649
"TP..mg.P.kg.","~","Normalized.PAO..FACS",1.16837038326002,-0.476395930055898
"TP..mg.P.kg.","~","Normalized.PAO..Raman",3.35905072953666,0.933369586025979
"TP..mg.P.kg.","~","Richness",1.43012799518726,-0.00558555987078955
"TP..mg.P.kg.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.113545914711475,0.0104411956056615
"NO3..mg.L.","~","TP..mg.P.kg.",8.3451083915237,0.564655356594769
"NO3..mg.L.","~","NH4..mg.L.",0.0666116769011965,-0.045569911989913
"NO3..mg.L.","~","TN..mg.L.",5.9026035469169,0.490062494671843
"NO3..mg.L.","~","H2O..mg.gsoil.",4.12060335286585,-0.38929177584768
"NO3..mg.L.","~","pH",0.674119085077004,0.348783499322387
"NO3..mg.L.","~","Normalized.polyP..FACS",1.10367262295465,0.186865525848207
"NO3..mg.L.","~","Normalized.PHAAO..FACS",1.34083164267038,-0.19871347362936
"NO3..mg.L.","~","Normalized.PAO..FACS",0.123591970439275,0.0628569776942081
"NO3..mg.L.","~","Normalized.PAO..Raman",0.880128064693031,-0.214660369453592
"NO3..mg.L.","~","Richness",13.1718653630136,0.023207192394316
"NO3..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",4.68244098407386,-0.0696362847619976
"NH4..mg.L.","~","TP..mg.P.kg.",0.0588428593549288,-0.0548157951611513
"NH4..mg.L.","~","NO3..mg.L.",0.0666116133548456,-0.0609060911017629
"NH4..mg.L.","~","TN..mg.L.",14.9745491318339,0.902397553719644
"NH4..mg.L.","~","H2O..mg.gsoil.",3.99933406457953,0.443384020512956
"NH4..mg.L.","~","pH",0.0905585594988297,-0.147789556187642
"NH4..mg.L.","~","Normalized.polyP..FACS",3.9200105219568,-0.40714025261527
"NH4..mg.L.","~","Normalized.PHAAO..FACS",1.0360115488342,0.201936051942432
"NH4..mg.L.","~","Normalized.PAO..FACS",2.76477652898695,-0.343700177913117
"NH4..mg.L.","~","Normalized.PAO..Raman",0.535126580573739,0.193507843049831
"NH4..mg.L.","~","Richness",0.996219002104312,0.00521593990331014
"NH4..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",10.4535861421292,-0.12437509790318
"TN..mg.L.","~","TP..mg.P.kg.",1.16495963618941,0.21349495707101
"TN..mg.L.","~","NO3..mg.L.",5.90260379855447,0.501858074820464
"TN..mg.L.","~","NH4..mg.L.",14.9745489121122,0.691424241041725
"TN..mg.L.","~","H2O..mg.gsoil.",0.139998832366004,-0.0726142323440026
"TN..mg.L.","~","pH",0.780273483880457,0.379730747274513
"TN..mg.L.","~","Normalized.polyP..FACS",1.77051573778135,-0.239510010057885
"TN..mg.L.","~","Normalized.PHAAO..FACS",0.0427126130395242,0.0358907869684385
"TN..mg.L.","~","Normalized.PAO..FACS",2.58073362055238,-0.290666296761823
"TN..mg.L.","~","Normalized.PAO..Raman",0.287115901393888,-0.124071570854172
"TN..mg.L.","~","Richness",5.68083673272521,-0.0111124236038912
"TN..mg.L.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",21.7566283106337,0.196342274699829
"H2O..mg.gsoil.","~","TP..mg.P.kg.",2.75484344228467,-0.345315027812689
"H2O..mg.gsoil.","~","NO3..mg.L.",4.12060086603383,-0.441036171855901
"H2O..mg.gsoil.","~","NH4..mg.L.",3.99933624137463,0.375834394112831
"H2O..mg.gsoil.","~","TN..mg.L.",0.139998295184049,-0.080332371526071
"H2O..mg.gsoil.","~","pH",10.3016439112848,-1.45124401635268
"H2O..mg.gsoil.","~","Normalized.polyP..FACS",5.82105373505429,-0.836065091366009
"H2O..mg.gsoil.","~","Normalized.PHAAO..FACS",1.55039758196785,-0.466262005552885
"H2O..mg.gsoil.","~","Normalized.PAO..FACS",6.19117378093937,-0.836340377380359
"H2O..mg.gsoil.","~","Normalized.PAO..Raman",26.4049019184004,2.22435866081044
"H2O..mg.gsoil.","~","Richness",1.58982148508086,0.00603592241979833
"H2O..mg.gsoil.","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.0457104908183437,0.00674055576475288
"pH","~","TP..mg.P.kg.",1.0818611966479,0.097692223297054
"pH","~","NO3..mg.L.",0.67412706013736,0.0805326554096086
"pH","~","NH4..mg.L.",0.0905589706721609,-0.0255314514552519
"pH","~","TN..mg.L.",0.780281935784541,0.0856174314855483
"pH","~","H2O..mg.gsoil.",10.301641435034,-0.295770460751179
"pH","~","Normalized.polyP..FACS",0.712658672048321,0.0785883376226621
"pH","~","Normalized.PHAAO..FACS",0.11411521534036,-0.0304071809195205
"pH","~","Normalized.PAO..FACS",0.0163074789969494,0.0118869852356891
"pH","~","Normalized.PAO..Raman",1.53260291327185,-0.158633591185777
"pH","~","Richness",1.71682425658003,0.00240167087188065
"pH","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.00824404464255201,-0.00127083705320369
"Normalized.polyP..FACS","~","NO3..mg.L.",5.00257573592783,0.0993654533546133
"Normalized.polyP..FACS","~","NH4..mg.L.",0.0601459248950186,0.00979489342116055
"Normalized.polyP..FACS","~","TN..mg.L.",2.35671849627541,0.0671806505959485
"Normalized.polyP..FACS","~","Richness",0.0534933136639093,0.000202950812616346
"Normalized.polyP..FACS","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.000125051384106122,-7.55499336572037e-05
"Normalized.polyP..FACS","~","warmed",4.27463807894676,-0.127139762419571
"Normalized.polyP..FACS","~","clipped",0.0328961777280647,-0.00684414178827472
"Normalized.PHAAO..FACS","~","NO3..mg.L.",2.63299373341928,-0.328894109119271
"Normalized.PHAAO..FACS","~","NH4..mg.L.",0.45738294626235,0.123233616761473
"Normalized.PHAAO..FACS","~","TN..mg.L.",0.0617014841881406,0.0495941847483281
"Normalized.PHAAO..FACS","~","Richness",2.67928950637293,0.00655304975501116
"Normalized.PHAAO..FACS","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.357941761147566,-0.0184411763522942
"Normalized.PHAAO..FACS","~","warmed",5.5616925930745,-0.416578005736322
"Normalized.PHAAO..FACS","~","clipped",0.0309527391839135,-0.0189456959406202
"Normalized.PAO..FACS","~","NO3..mg.L.",5.49634678395453,-0.0994915917157285
"Normalized.PAO..FACS","~","NH4..mg.L.",0.659858705397555,-0.0309908023336245
"Normalized.PAO..FACS","~","TN..mg.L.",4.54975409562494,-0.089165129824783
"Normalized.PAO..FACS","~","Richness",0.150064460899067,-0.000324706291709048
"Normalized.PAO..FACS","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.0179675864316682,0.000865058426407295
"Normalized.PAO..FACS","~","warmed",5.17677002069281,0.0756930357563154
"Normalized.PAO..FACS","~","clipped",0.0104096304670719,0.00206756028171054
"Normalized.PAO..Raman","~","NO3..mg.L.",0.391132701250668,0.0854081367486882
"Normalized.PAO..Raman","~","NH4..mg.L.",0.1196492164126,0.0424668591640255
"Normalized.PAO..Raman","~","TN..mg.L.",0.444490633159975,-0.0896850921015408
"Normalized.PAO..Raman","~","Richness",0.000936816625769659,-8.25594783679405e-05
"Normalized.PAO..Raman","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.965724053115275,0.0204086821324645
"Normalized.PAO..Raman","~","warmed",6.53055647020289,0.107035889750078
"Normalized.PAO..Raman","~","clipped",0.103031391792345,0.00816556501578079
"Richness","~","Normalized.polyP..FACS",0.971801239862663,-6.72805573928692
"Richness","~","Normalized.PHAAO..FACS",0.593262244383199,4.97640443864442
"Richness","~","Normalized.PAO..FACS",2.0315235404493,-10.4223020216711
"Richness","~","Normalized.PAO..Raman",0.906043843092077,8.40951120548523
"Richness","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.301096439955357,2.74578352467087
"Richness","~","warmed",1.1982073985381,25.1061690947968
"Richness","~","clipped",0.447317447556246,9.31196461858607
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","warmed",5.4368131986901,0.154801192190811
"AP.Activity..nmol.MUB..g.dry.soil...hour.","~","clipped",0.00136948326613423,-0.00149141809262351
"warmed","~","TP..mg.P.kg.",3.80856485827777e-14,1.09417633157217e-08
"warmed","~","NO3..mg.L.",8.80330839502497e-13,3.91544288763641e-08
"warmed","~","NH4..mg.L.",3.50338101980193e-13,6.34022930972546e-08
"warmed","~","TN..mg.L.",8.86871142911024e-13,4.1209722407183e-08
"warmed","~","H2O..mg.gsoil.",1.18974388040558e-12,-8.58501100740004e-08
"warmed","~","pH",1.85031570647068e-15,1.05944427265703e-09
"warmed","~","Normalized.polyP..FACS",0.00199457714115876,-0.00349221960040245
"warmed","~","Normalized.PHAAO..FACS",0.000926196755038726,0.00462446642489974
"warmed","~","Normalized.PAO..FACS",6.66317420790256e-06,-0.000152970215344489
"warmed","~","Normalized.PAO..Raman",0.0470109932725038,0.00727498591465519
"warmed","~","Richness",0.017333257825806,0.000127240850358104
"warmed","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",0.483093815921929,-0.0505848235913395
"warmed","~","clipped",1.58850750534332e-24,-1.68198029015053e-13
"clipped","~","TP..mg.P.kg.",5.84008818503083e-12,-3.68878341385002e-07
"clipped","~","NO3..mg.L.",1.69681661697824e-13,4.33524861062733e-08
"clipped","~","NH4..mg.L.",2.10583872945586e-11,1.11326636540133e-06
"clipped","~","TN..mg.L.",5.11038493821524e-14,2.53285889418342e-08
"clipped","~","H2O..mg.gsoil.",2.72477897730607e-11,-8.01406178976764e-07
"clipped","~","pH",2.95602400195213e-15,-3.18207463188563e-09
"clipped","~","Normalized.polyP..FACS",1.13077476897242,-0.132044155187971
"clipped","~","Normalized.PHAAO..FACS",0.00580618788145265,0.010459545991921
"clipped","~","Normalized.PAO..FACS",0.368490483624982,-0.0693955126043644
"clipped","~","Normalized.PAO..Raman",2.94462774112791,0.130673562934848
"clipped","~","Richness",0.0832779440724624,0.000602052908730794
"clipped","~","AP.Activity..nmol.MUB..g.dry.soil...hour.",7.15944892027862,-0.21443207644462
"clipped","~","warmed",2.58579448948313e-25,-5.96923630083188e-14
